site	resource	acquire_site	release_sites	current_mechanism	ordering_constraints	leak_history	owning_scope_proposal	notes
task/index.ts:1817	isolationHandle	task/index.ts:1817	task/index.ts:1888	finally	worktree cleanup BEFORE result return	-	spawn-attempt Scope	git worktree isolation via ensureIsolation
task/spawn-worker-client.ts:35	spawnLaunchTail resolver	task/spawn-worker-client.ts:35	task/spawn-worker-client.ts:57	manual	none	-	spawn-attempt Scope	serializes child process launches
task/spawn-worker-client.ts:43	Bun.Subprocess child	task/spawn-worker-client.ts:43	task/spawn-worker-client.ts:185,task/spawn-worker-client.ts:358,task/spawn-worker-client.ts:412,task/spawn-worker-client.ts:438,task/spawn-worker-client.ts:452; missing kill on pipe-reader rejection	manual	journal flush BEFORE pipe close	HR-163 report-on-exit; pipe rejection can outlive failed request	spawn-attempt Scope	killed via killProcessTree on known paths, but Promise.all rejection from stderr/stdout skips kill before finally
task/spawn-worker-client.ts:283	SessionManager journal recovery	task/spawn-worker-client.ts:283	task/spawn-worker-client.ts:297,task/spawn-worker-client.ts:309-332,task/spawn-worker-client.ts:333-335 (no close on any path)	manual	journal read before recovery return	HR-164 review: unclosed recovery manager	session Scope	recoverSpawnWorkerResultFromJournal opens SessionManager; no session.close appears on success, undefined return, or catch
task/spawn-worker-client.ts:211	ps subprocess for RSS sampling	task/spawn-worker-client.ts:211	task/spawn-worker-client.ts:216	manual	ps stdout read BEFORE awaiting exited	-	spawn-attempt Scope	Bun.spawn of /bin/ps per sample
task/spawn-worker-client.ts:232	rssTimer interval	task/spawn-worker-client.ts:232	task/spawn-worker-client.ts:238	manual	none	HR-141 kernel leaks	session Scope	global interval started when first watch added
task/spawn-worker-client.ts:244	stderr stream reader	task/spawn-worker-client.ts:244	task/spawn-worker-client.ts:261	manual	none	-	spawn-attempt Scope	ReadableStream reader capped at STDERR_CAP_BYTES
task/spawn-worker-client.ts:373	stdout stream reader	task/spawn-worker-client.ts:373	task/spawn-worker-client.ts:445	manual	none	-	spawn-attempt Scope	ReadableStream reader for JSONL records
task/spawn-worker-client.ts:361	abort signal listener	task/spawn-worker-client.ts:361	task/spawn-worker-client.ts:468	manual	none	-	spawn-attempt Scope	onAbort calls failAndKill
task/spawn-worker-client.ts:363	timeout timer	task/spawn-worker-client.ts:363	task/spawn-worker-client.ts:466	manual	none	-	spawn-attempt Scope	setup+runtime grace timeout
task/spawn-worker-client.ts:365	rssWatcher registration	task/spawn-worker-client.ts:365	task/spawn-worker-client.ts:467	manual	none	-	spawn-attempt Scope	per-subprocess RSS watch entry
task/spawn-worker-entry.ts:61	Bun.stdout writer	task/spawn-worker-entry.ts:61	-	none	none	-	process Scope	BoundedJsonlWriter#drain owns writer; recursive drain can start after flush awaited, so queued bytes may remain and no explicit release closes the writer
task/spawn-worker-entry.ts:78	Bun.stdin reader	task/spawn-worker-entry.ts:78	task/spawn-worker-entry.ts:92	manual	none	-	process Scope	reads single JSONL request; releaseLock in finally
task/spawn-worker-entry.ts:162	registry.onChange listener	task/spawn-worker-entry.ts:162	task/spawn-worker-entry.ts:181	manual	none	-	process Scope	forwards registry changes to parent
task/spawn-worker-entry.ts:166	EventBus	task/spawn-worker-entry.ts:166	task/spawn-worker-entry.ts:183	manual	none	-	process Scope	child event bus; cleared in finally
task/spawn-worker-entry.ts:167-168	eventBus.on listeners	task/spawn-worker-entry.ts:167-168	task/spawn-worker-entry.ts:182	manual	none	-	process Scope	three channel listeners for progress/event/lifecycle
task/subagent-worker-pool.ts:121	Bun.Subprocess worker	task/subagent-worker-pool.ts:121	task/subagent-worker-pool.ts:101,task/subagent-worker-pool.ts:158,task/subagent-worker-pool.ts:172,task/subagent-worker-pool.ts:178,task/subagent-worker-pool.ts:187,task/subagent-worker-pool.ts:203,task/subagent-worker-pool.ts:245	manual	worker kill BEFORE pool close exit	-	session Scope	worker pool IPC child; detached via serialization advanced
task/subagent-worker-pool.ts:139	leaseId	task/subagent-worker-pool.ts:139	task/subagent-worker-pool.ts:217	manual	none	-	child-turn Scope	correlates run/ack/result for one turn
task/subagent-worker-pool.ts:215	outcome map entry	task/subagent-worker-pool.ts:215	task/subagent-worker-pool.ts:238,task/subagent-worker-pool.ts:240	manual	none	-	child-turn Scope	buffered until sequence delivery order
task/subagent-worker-entry.ts:36	turn allocation Uint8Array	task/subagent-worker-entry.ts:36	task/subagent-worker-entry.ts:66	gc	none	-	child-turn Scope	zeroed allocation held in active until ack or exit
task/subagent-worker-entry.ts:70	process.on message listener	task/subagent-worker-entry.ts:70	-	none	none	-	process Scope	never removed; process exit is release
task/parallel.ts:39	internal abortController	task/parallel.ts:39	task/parallel.ts:60	manual	none	-	fanout Scope	aborts all workers on first error
task/parallel.ts:116	Semaphore slot	task/parallel.ts:116	task/parallel.ts:139-145	manual	none	-	fanout Scope	FIFO concurrency slot
task/output-manager.ts:47	fs.readdir	task/output-manager.ts:47	-	none	none	-	session Scope	one-time seed of taken ids; directory handle is transient
task/re-adopt.ts:187	AgentLifecycleManager.release	task/re-adopt.ts:187	task/re-adopt.ts:187(registry/agent-lifecycle.ts:252)	dispose	session dispose BEFORE registry unregister	-	session Scope	rollbacks adopted children on ownership loss during re-adoption
task/re-adopt.ts:204	session ownership lease (isCurrent check)	task/re-adopt.ts:204	-	none	none	-	session Scope	passed-in SessionOwnershipHandle; lease validated at each barrier
task/re-adopt.ts:363	session ownership lease (isCurrent check)	task/re-adopt.ts:363	-	none	none	-	session Scope	revalidated before adopting each candidate
task/re-adopt.ts:388	AgentLifecycleManager.adopt	task/re-adopt.ts:388	task/re-adopt.ts:187(registry/agent-lifecycle.ts:118)	dispose	session dispose BEFORE registry detach	-	session Scope	delegates adopted child lifetime to AgentLifecycleManager (out-of-scope)
task/re-adopt.ts:411	AgentLifecycleManager.ensureLive	task/re-adopt.ts:411	task/re-adopt.ts:411(registry/agent-lifecycle.ts:460)	dispose	journal revive BEFORE session attach	-	session Scope	delegates revival to AgentLifecycleManager (out-of-scope)
task/auto-resume.ts:99	session ownership lease (ownershipIsCurrent)	task/auto-resume.ts:99	-	none	none	-	session Scope	passed-in ownership check gate
task/auto-resume.ts:125	decisionJournal appendCustomEntry	task/auto-resume.ts:125	task/auto-resume.ts:126	manual	journal flush BEFORE cordon release	-	session Scope	passed-in SessionManager for auto-resume decision
task/auto-resume.ts:126	decisionJournal flush	task/auto-resume.ts:126	-	manual	journal flush BEFORE cordon release	-	session Scope	passed-in SessionManager flush
