site	construct	error_today	expected_or_defect	owner	swallow_hazard	target_tagged_error	notes
task/executor.ts:1579	catch	subagent event processing failure	DEFECT	run monitor	yes	SubagentEventProcessingError	logs and terminates run; original error lost to parent
task/executor.ts:1691	throw	ToolAbortError in checkAbort	EXPECTED	run monitor	no	ToolAbortError	abort check inside run monitor
task/executor.ts:1701	reject	ToolAbortError from awaitAbortable onAbort	EXPECTED	run monitor	no	ToolAbortError	abort rejection wrapper
task/executor.ts:1742	catch	prompt/reminder failure or abort	DEFECT	run monitor	yes	ToolAbortError / SubagentPromptError	two-branch catch: abort is control flow, other errors logged but not propagated
task/executor.ts:1780	catch	run failure or abort in driveSessionToYield	DEFECT	run monitor	no	SubagentRunError / ToolAbortError	abort branch is expected; other errors become run error
task/executor.ts:1928	swallow	artifact write failure in finalizeRunResult	DEFECT	run monitor	yes	ArtifactWriteError	Non-fatal: result delivered without artifact
task/executor.ts:2240	throw	ToolAbortError in runSubagent checkAbort	EXPECTED	run monitor	no	ToolAbortError	abort check inside runSubagent
task/executor.ts:2250	reject	ToolAbortError from runSubagent awaitAbortable	EXPECTED	run monitor	no	ToolAbortError	abort rejection wrapper
task/executor.ts:2270	throw	authStorage mismatch between options and modelRegistry	DEFECT	executor	no	SubagentAuthStorageMismatchError	programmer invariant violation
task/executor.ts:2299	throw	subagent model resolution blocked	EXPECTED	executor	no	SubagentModelResolutionError	requested/inherited model not allowed for subagents
task/executor.ts:2440	swallow	session dispose failure on aborted startup	DEFECT	executor	yes	SessionDisposeError	.catch(() => {}): dispose error hidden
task/executor.ts:2441	rethrow	createAgentSession failure	EXPECTED	executor	no	SubagentSessionCreateError	rethrows after scheduling dispose
task/executor.ts:2449	throw	missing parent session file/id for durable subagent	DEFECT	executor	no	DurableSubagentSessionConfigError	durable session config invariant
task/executor.ts:2553	floating	session.abort() rejection in abort listener	DEFECT	run monitor	yes	SessionAbortError	void session.abort() inside abort listener has no catch
task/executor.ts:2561	floating	session.abort() rejection in already-aborted mirror	DEFECT	run monitor	yes	SessionAbortError	void session.abort() mirror has no catch
task/executor.ts:2570	catch	extension sendCustomMessage failure	EXPECTED	extension runner	yes	ExtensionSendMessageError	logs only; not propagated to parent
task/executor.ts:2578	catch	extension sendUserMessage failure	EXPECTED	extension runner	yes	ExtensionSendMessageError	logs only; not propagated to parent
task/executor.ts:2650	catch	session setup/run failure in runSubagent	DEFECT	run monitor	no	SubagentRunError / ToolAbortError	abort branch expected; other errors surface as run error
task/executor.ts:2672	swallow	session unsubscribe failure	DEFECT	run monitor	yes	SessionCleanupError	Ignore unsubscribe errors
task/executor.ts:2715	swallow	session dispose failure on abort path	DEFECT	run monitor	yes	SessionDisposeError	Ignore cleanup errors
task/executor.ts:2729	swallow	session dispose failure on isolated/park path	DEFECT	run monitor	yes	SessionDisposeError	Ignore cleanup errors
task/index.ts:115	catch	getRepoRoot failure in spawn guide resolution	EXPECTED	task tool	yes	RepoRootError	falls back to cwd path
task/index.ts:130	catch	spawn guide stat failure	EXPECTED	task tool	no	SpawnGuideReadError	missing guide returns undefined
task/index.ts:142	catch	spawn guide read failure	EXPECTED	task tool	no	SpawnGuideReadError	missing/unreadable guide returns undefined
task/index.ts:671	catch	agent discovery promise failure	EXPECTED	task tool	yes	AgentDiscoveryError	only removes memo entry; discovery error lost
task/index.ts:689	catch	semaphore acquisition error or abort	EXPECTED	task tool	no	ToolAbortError / SemaphoreAcquisitionError	rethrows non-abort errors; abort swallowed
task/index.ts:1087	catch	spawn schedule/model resolution failure	EXPECTED	task tool	yes	SubagentScheduleError	specific error collapsed into failedSchedules
task/index.ts:1217	throw	abort before execution	EXPECTED	task tool	no	ToolAbortError	pre-execution abort
task/index.ts:1261	throw	TaskJobError on failed job delivery	EXPECTED	caller of the task tool	no	TaskJobError	job failed to deliver
task/index.ts:1264	catch	ensureLive failure	EXPECTED	task tool	no	TaskJobError	rethrows TaskJobError; converts other errors to TaskJobError
task/index.ts:1266	rethrow	TaskJobError	EXPECTED	task tool	no	TaskJobError	rethrows from ensureLive catch
task/index.ts:1288	throw	TaskJobError on follow-up ensure failure	EXPECTED	caller of the task tool	no	TaskJobError	follow-up job could not be started
task/index.ts:1449	catch	settings reloadFromDisk failure	EXPECTED	task tool	yes	SettingsReloadError	logs and continues to spawn
task/index.ts:1569	catch	captureBaseline git repo failure	EXPECTED	task tool	no	IsolatedTaskGitError	returns error message to user
task/index.ts:1813	throw	isolated task state not initialized	DEFECT	task tool	no	IsolatedTaskStateError	baseline or repoRoot missing
task/index.ts:1842	catch	commitToBranch failure	EXPECTED	task tool	no	BranchCommitError	returns error embedded in result
task/index.ts:1860	catch	captureDeltaPatch failure	EXPECTED	task tool	no	PatchCaptureError	returns error embedded in result
task/index.ts:1866	catch	subagent execution failure in runTask	EXPECTED	task tool	no	SubagentRunError	returns error in SingleResult
task/index.ts:1952	swallow	git patch applyText failure	EXPECTED	task tool	no	PatchApplyError	sets flags; non-fatal to merge
task/index.ts:1969	catch	mergeTaskBranches failure	EXPECTED	task tool	no	MergeApplyError	sets mergeSummary; preserves outputs
task/index.ts:1988	swallow	applyNestedPatches failure	EXPECTED	task tool	yes	NestedPatchError	failure appended to summary but not propagated
task/index.ts:2004	catch	unexpected task tool execution failure	DEFECT	task tool	yes	TaskToolExecutionError	returns tool result text; hides unexpected error
task/spawn-worker-client.ts:232	floating	sampleWorkerRss() rejection from rss timer	DEFECT	worker client	yes	RssSamplingError	setInterval callback discards async rejection; polling failure is unhandled
task/spawn-worker-client.ts:40	throw	SpawnWorkerError aborted before spawn	EXPECTED	worker client	no	SpawnWorkerError	pre-aborted launch
task/spawn-worker-client.ts:187	swallow	process.kill failure in process group	EXPECTED	worker client	no	ProcessKillError	worker may have exited or not own process group
task/spawn-worker-client.ts:192	swallow	SIGKILL failure in process group	EXPECTED	worker client	no	ProcessKillError	exit processing reports terminal state
task/spawn-worker-client.ts:333	swallow	journal recovery failure	DEFECT	journal recovery	yes	JournalRecoveryError	returns undefined; may hide journal terminal outcome
task/spawn-worker-client.ts:342	throw	SpawnWorkerError aborted before spawn	EXPECTED	worker client	no	SpawnWorkerError	pre-aborted runRequest
task/spawn-worker-client.ts:347	catch	launchSpawnProcess failure	EXPECTED	worker client	no	SpawnWorkerError	rethrows SpawnWorkerError; wraps others
task/spawn-worker-client.ts:348	rethrow	SpawnWorkerError	EXPECTED	worker client	no	SpawnWorkerError	rethrows existing SpawnWorkerError
task/spawn-worker-client.ts:349	throw	SpawnWorkerError spawn cause	EXPECTED	worker client	no	SpawnWorkerError	wraps non-SpawnWorkerError spawn failure
task/spawn-worker-client.ts:384	catch	protocol record decode failure	EXPECTED	worker client	no	SpawnWorkerError	failAndKill with protocol error
task/spawn-worker-client.ts:413	swallow	proc.kill failure on abort	EXPECTED	worker client	no	ProcessKillError	worker may already be exiting
task/spawn-worker-client.ts:453	rethrow	terminal SpawnWorkerError	EXPECTED	worker client	no	SpawnWorkerError	rethrows terminal error collected during record reading
task/spawn-worker-client.ts:454	throw	SpawnWorkerError exited before ready	EXPECTED	worker client	no	SpawnWorkerError	subprocess exited before ready record
task/spawn-worker-client.ts:460	throw	SpawnWorkerError exit code	EXPECTED	worker client	no	SpawnWorkerError	subprocess exited with non-zero code
task/spawn-worker-client.ts:462	throw	SpawnWorkerError exited without result	EXPECTED	worker client	no	SpawnWorkerError	no result record and exit code 0
task/spawn-worker-entry.ts:72	floating	replacement writer drain rejection	DEFECT	worker entry	yes	WriterDrainError	finally starts #drain() without awaiting or handling rejection
task/spawn-worker-entry.ts:34	catch	JSON.stringify error in record encoding	DEFECT	worker entry	no	SerializationError	rethrows unless droppable
task/spawn-worker-entry.ts:36	rethrow	JSON.stringify error	DEFECT	worker entry	no	SerializationError	rethrows encoding error
task/spawn-worker-entry.ts:40	throw	spawn-worker record size cap exceeded	EXPECTED	worker entry	no	SpawnWorkerOutputCapError	output record too large
task/spawn-worker-entry.ts:46	throw	spawn-worker output backpressure cap exceeded	EXPECTED	worker entry	no	SpawnWorkerOutputCapError	queued bytes exceed cap
task/spawn-worker-entry.ts:87	throw	spawn-worker input cap exceeded	EXPECTED	worker entry	no	SpawnWorkerInputCapError	request bytes exceed cap
task/spawn-worker-entry.ts:95	throw	spawn-worker expects exactly one JSONL record	EXPECTED	worker entry	no	SpawnWorkerProtocolError	request format error
task/spawn-worker-entry.ts:185	catch	worker startup/run error	EXPECTED	worker entry	no	SpawnWorkerProtocolError	enqueues error record to client
task/spawn-worker-protocol.ts:105	throw	object field validation failure	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request/record decode
task/spawn-worker-protocol.ts:110	throw	string field validation failure	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request/record decode
task/spawn-worker-protocol.ts:115	throw	integer field validation failure	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request/record decode
task/spawn-worker-protocol.ts:120	throw	unsupported spawn-worker protocol version	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request/record decode
task/spawn-worker-protocol.ts:135	throw	registry must be an array	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:141	throw	localProtocol.artifactsDir type invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:144	throw	localProtocol.sessionId type invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:164	throw	unknown spawn-worker request type	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:170	throw	registry ref kind invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:173	throw	registry ref status invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:176	throw	registry ref sessionFile type invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	request decode
task/spawn-worker-protocol.ts:198	throw	phase field invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	record decode
task/spawn-worker-protocol.ts:214	throw	error record code invalid	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	record decode
task/spawn-worker-protocol.ts:218	throw	unknown spawn-worker record type	EXPECTED	worker protocol decoder	no	SpawnWorkerProtocolError	record decode
task/subagent-worker-pool.ts:50	throw	positive integer config validation failure	EXPECTED	worker pool	no	WorkerPoolConfigError	invalid pool option
task/subagent-worker-pool.ts:75	reject	worker pool is closed	EXPECTED	worker pool	no	WorkerPoolClosedError	run rejected when pool closed
task/subagent-worker-pool.ts:93	reject	worker pool closed before turn completion	EXPECTED	worker pool	no	WorkerPoolClosedError	queued jobs rejected on close
task/subagent-worker-pool.ts:94	reject	worker pool closed before turn completion	EXPECTED	worker pool	no	WorkerPoolClosedError	undelivered outcomes rejected on close
task/subagent-worker-pool.ts:97	reject	worker pool closed before turn completion	EXPECTED	worker pool	no	WorkerPoolClosedError	active worker job rejected on close
task/subagent-worker-pool.ts:102	swallow	proc.kill failure during close	EXPECTED	worker pool	no	ProcessKillError	worker already exited
task/subagent-worker-pool.ts:155	swallow	proc.send failure on assignment	EXPECTED	worker pool	no	WorkerIpcError	retires worker; retry handled by exit path
task/subagent-worker-pool.ts:159	swallow	proc.kill failure after send error	EXPECTED	worker pool	no	ProcessKillError	exit handling owns retry
task/subagent-worker-pool.ts:170	swallow	decodeWorkerMessage failure	EXPECTED	worker pool	no	WorkerProtocolError	retires worker
task/subagent-worker-pool.ts:228	swallow	proc.send ack failure	DEFECT	worker pool	yes	WorkerIpcError	ACK send fails after outcome/job clear; retiring live worker remains in pool without kill or exit cleanup
task/subagent-worker-pool.ts:239	reject	worker crashed or pool closed	EXPECTED	worker pool	no	WorkerCrashedError / WorkerPoolClosedError	outcome.error delivered here; created at L255 or L92
task/subagent-worker-entry.ts:31	throw	run received while another turn active	EXPECTED	worker entry	no	WorkerProtocolError	protocol invariant
task/subagent-worker-entry.ts:64	throw	ACK does not match active turn	EXPECTED	worker entry	no	WorkerProtocolError	protocol invariant
task/subagent-worker-entry.ts:77	catch	catch callback send failure after runTurn error	DEFECT	worker entry	yes	WorkerIpcError	send(...) inside rejected runTurn callback is unguarded; send failure prevents controlled exit
task/subagent-worker-entry.ts:81	catch	decodeCoordinatorMessage failure	EXPECTED	worker entry	no	WorkerProtocolError	sends protocol-error and exits 72
task/subagent-worker-protocol.ts:63	throw	string field validation failure	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator/worker message decode
task/subagent-worker-protocol.ts:69	throw	integer field validation failure	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator/worker message decode
task/subagent-worker-protocol.ts:77	throw	serializable field validation failure	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator/worker message decode
task/subagent-worker-protocol.ts:78	throw	serializable cycle detected	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator/worker message decode
task/subagent-worker-protocol.ts:83	throw	serializable field validation failure	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator/worker message decode
task/subagent-worker-protocol.ts:94	throw	payload missing value	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator message decode
task/subagent-worker-protocol.ts:101	throw	payload.crash invalid	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator message decode
task/subagent-worker-protocol.ts:110	throw	coordinator message not an object	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator message decode
task/subagent-worker-protocol.ts:121	throw	limits not an object	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator message decode
task/subagent-worker-protocol.ts:134	throw	unknown coordinator message type	EXPECTED	worker protocol decoder	no	WorkerProtocolError	coordinator message decode
task/subagent-worker-protocol.ts:139	throw	worker message not an object	EXPECTED	worker protocol decoder	no	WorkerProtocolError	worker message decode
task/subagent-worker-protocol.ts:145	throw	recycle not boolean	EXPECTED	worker protocol decoder	no	WorkerProtocolError	worker message decode
task/subagent-worker-protocol.ts:158	throw	unknown worker message type	EXPECTED	worker protocol decoder	no	WorkerProtocolError	worker message decode
task/parallel.ts:56	catch	worker task failure	EXPECTED	parallel runner	no	ParallelTaskError	aborts controller and rejects first error
task/parallel.ts:62	rethrow	worker task failure	EXPECTED	parallel runner	no	ParallelTaskError	rethrows from worker catch
task/parallel.ts:75	catch	first worker error or abort	EXPECTED	parallel runner	no	ParallelTaskError / ToolAbortError	abort returns partial; errors rethrow
task/parallel.ts:80	rethrow	first worker error	EXPECTED	parallel runner	no	ParallelTaskError	rethrows from outer race catch
task/parallel.ts:117	throw	abort signal reason	EXPECTED	parallel runner	no	ToolAbortError	semaphore acquire on aborted signal
task/output-manager.ts:48	swallow	artifacts directory read failure	DEFECT	output manager	yes	OutputManagerReadError	only ENOENT means missing directory; EACCES/other errors leave taken set empty and can overwrite an existing artifact id
task/re-adopt.ts:116	swallow	journal line JSON parse failure	EXPECTED	journal recovery	no	JournalParseError	returns null; leads to corrupt_journal diagnostic
task/re-adopt.ts:216	swallow	children directory read failure	EXPECTED	journal recovery	no	JournalReadError	diagnoses and returns early
task/re-adopt.ts:229	swallow	child journal read failure	EXPECTED	journal recovery	no	JournalReadError	diagnoses corrupt_journal and continues
task/re-adopt.ts:357	catch	createReviver failure	EXPECTED	journal recovery	no	ReAdoptReviverError	diagnoses unavailable_model and continues
task/re-adopt.ts:430	catch	resumeInterruptedTurn failure	EXPECTED	journal recovery	no	ReAdoptReviverError	diagnoses reviver_unavailable
task/child-lifecycle.ts:0	none	no error-channel sites in this file	none	none	none	none	no throw/reject/catch/swallow sites in scoped file
task/quota-admission.ts:0	none	no error-channel sites in this file	none	none	none	none	no throw/reject/catch/swallow sites in scoped file
task/auto-resume.ts:0	none	no error-channel sites in this file	none	none	none	none	no throw/reject/catch/swallow sites in scoped file
task/subprocess-tool-registry.ts:0	none	no error-channel sites in this file	none	none	none	none	no throw/reject/catch/swallow sites in scoped file
