site	construct	purpose	current_policy	target_schedule	testclock_plan	notes
task/index.ts:683	AbortSignal.timeout	bounded wait for revive admission slot	waitMs default REVIVE_ADMISSION_WAIT_MS (5000)	Effect.timeout(acquireEffect, waitMs)	TestClock.advance(waitMs); expect timeout bypass	
task/index.ts:1211	Date.now	background spawn duration baseline	wall-clock startedAt	Clock.currentTimeMillis	TestClock.set(start); run effect	
task/index.ts:1279	Date.now	background spawn failure duration	Date.now() - startedAt	Clock.currentTimeMillis difference	TestClock.advance(t); durationMs updated	
task/index.ts:1337	Date.now	sync fanout duration baseline	wall-clock startTime	Clock.currentTimeMillis	TestClock.set(start); run fanout	
task/index.ts:1344	Date.now	sync fanout progress duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs updated	
task/index.ts:1411	Date.now	sync fanout result duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs = t - start	
task/index.ts:1446	Date.now	runSpawn duration baseline	wall-clock startTime	Clock.currentTimeMillis	TestClock.set(start); run spawn	
task/index.ts:1537	Date.now	route error result duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); durationMs recorded	
task/index.ts:1545	Date.now	route error total duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs recorded	
task/index.ts:1573	Date.now	isolation git error total duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs recorded	
task/index.ts:1616	Date.now	recursion/spawn block total duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs recorded	
task/index.ts:1633	Date.now	agent not allowed total duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs recorded	
task/index.ts:1713	Date.now	spawn progress update duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs updated	
task/index.ts:1733	timeoutSec conversion	convert per-spawn timeout to ms	Math.trunc(timeoutSec * 1000)	Duration.seconds(timeoutSec)	TestClock.advance(timeoutSec*1000); expect timeout	I3 source value passed to executor
task/index.ts:1809	Date.now	isolated task duration baseline	wall-clock taskStart	Clock.currentTimeMillis	TestClock.set(start); run isolated task	
task/index.ts:1880	Date.now	isolated task error duration	Date.now() - taskStart	Clock.currentTimeMillis difference	TestClock.advance(t); durationMs recorded	
task/index.ts:2003	Date.now	buildResultPayload duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs passed to payload	
task/index.ts:2007	Date.now	runSpawn catch total duration	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); totalDurationMs recorded	
task/spawn-worker-client.ts:24	RSS_SAMPLE_INTERVAL_MS constant	RSS polling interval	250ms fixed	Schedule.spaced(250)	TestClock.advance(250); assert sample taken	
task/spawn-worker-client.ts:26	SETUP_TIMEOUT_GRACE_MS constant	subprocess setup grace period	60000ms added to runtime limit	Effect.timeout with duration runtimeLimitMs + 60000	TestClock.advance(runtimeLimitMs + 60000); expect timeout	
task/spawn-worker-client.ts:38	setTimeout	serialize spawn launches with yield gap	10ms fixed	Clock.sleep(10)	TestClock.advance(10); next spawn proceeds	
task/spawn-worker-client.ts:232	setInterval	poll child RSS while alive	RSS_SAMPLE_INTERVAL_MS(250) recurring	Effect.repeat(Schedule.spaced(250)) or Stream.fromSchedule	TestClock.advance multiples of 250); samples fire	fires while child is alive including post-yield linger
task/spawn-worker-client.ts:238	clearInterval	stop RSS polling when no watches remain	clears rssTimer	Scope finalizer on subscription	TestClock.advance after last watch removed; no samples	
task/spawn-worker-client.ts:363	setTimeout	subprocess wall-clock timeout (I3 hazard)	options.timeoutMs fixed; cleared only in finally after proc.exited	timeout scoped to active turn, disarmed at yieldWritten/before park	TestClock.advance(timeoutMs) during active turn; after result/yield advance must not abort	I3: timeout spans child result delivery and process exit wait; it can fire after yield before proc.exited
task/spawn-worker-client.ts:466	clearTimeout	cancel subprocess timeout on completion	clears timeout in finally	Scope finalizer / interruption	TestClock.advance after success; no timeout fired	
task/spawn-worker-client.ts:496	timeoutMs composition	subprocess total timeout including setup grace	runtimeLimitMs + SETUP_TIMEOUT_GRACE_MS	Effect.timeout with combined duration	TestClock.advance(runtimeLimitMs + 60000); expect timeout	
task/spawn-worker-entry.ts:118	performance.now	synthetic CPU spin workload	busy loop until spinMs elapsed	Clock.currentTimeMillis if virtual spin needed; otherwise stay wall-clock	TestClock.advance(spinMs) does not execute CPU spin; must stay wall-clock for real load	synthetic test only; not domain scheduling
task/spawn-worker-entry.ts:122	Bun.sleep	synthetic hang workload	hangMs fixed sleep	Clock.sleep(hangMs)	TestClock.advance(hangMs); worker resumes	synthetic test only
task/spawn-worker-entry.ts:150	Date.now	phase timestamp decode	wall-clock at	Clock.currentTimeMillis	TestClock.set(t); phase record emitted	journal timestamp
task/spawn-worker-entry.ts:152	Date.now	phase timestamp run	wall-clock at	Clock.currentTimeMillis	TestClock.set(t); phase record emitted	journal timestamp
task/spawn-worker-entry.ts:171	Date.now	phase timestamp setup	wall-clock at	Clock.currentTimeMillis	TestClock.set(t); phase record emitted	journal timestamp
task/spawn-worker-entry.ts:172	Date.now	phase timestamp run	wall-clock at	Clock.currentTimeMillis	TestClock.set(t); phase record emitted	journal timestamp
task/spawn-worker-entry.ts:178	Date.now	phase timestamp finalize	wall-clock at	Clock.currentTimeMillis	TestClock.set(t); phase record emitted	journal timestamp
task/quota-admission.ts:78	QUOTA_SAMPLE_MAX_AGE_MS constant	TTL for retained quota samples	15 * 60000 = 900000ms	Schedule retention or Clock.currentTimeMillis filter	TestClock.advance(900001); sample treated stale	
task/quota-admission.ts:84	Date.now	compaction timestamp default	wall-clock nowMs	Clock.currentTimeMillis	TestClock.set(t); freshness checked	
task/quota-admission.ts:213	Date.now	latest state timestamp default	wall-clock nowMs fallback	Clock.currentTimeMillis	TestClock.set(t); maxAge check	
task/quota-admission.ts:218	Date.now	state record updatedAt default	wall-clock nowMs	Clock.currentTimeMillis	TestClock.set(t); record.updatedAtMs reflects t	persistence boundary timestamp when caller omits updatedAtMs
task/quota-admission.ts:291	Date.now	usage report observedAt fallback	wall-clock when fetchedAt missing	Clock.currentTimeMillis	TestClock.set(t); sample.observedAtMs = t	
task/quota-admission.ts:343	Date.now	admission decision timestamp default	wall-clock nowMs	Clock.currentTimeMillis	TestClock.set(t); decision.atMs = t	
task/auto-resume.ts:36	Date.now	rollout recovery deadline clock	wall-clock now fallback	Clock.currentTimeMillis	TestClock.set(t0); deadline = t0 + timeoutMs	
task/auto-resume.ts:37	Bun.sleep	rollout recovery poll sleep	pollIntervalMs default 25	Clock.sleep(min(pollIntervalMs, remaining))	TestClock.advance(pollIntervalMs); next poll runs	
task/auto-resume.ts:38	deadline arithmetic	wall-clock recovery deadline	now() + timeoutMs	Effect.timeout(recoveryLoop, timeoutMs)	TestClock.advance(timeoutMs); RecoveryTimedOut	
task/auto-resume.ts:44	Date.parse	compare peer heartbeat timestamps	Date.parse(peer.lastSeen) > Date.parse(previousHeartbeat)	Clock.currentTimeMillis comparisons	TestClock.set peer.lastSeen virtual time; comparison succeeds	
task/auto-resume.ts:53	deadline arithmetic	remaining recovery time	deadline - now()	Clock.currentTimeMillis difference	TestClock.advance(t); remaining updated	
task/auto-resume.ts:60	sleep	recovery poll interval	min(pollIntervalMs ?? 25, remaining)	Clock.sleep(min(pollIntervalMs, remaining))	TestClock.advance(pollIntervalMs); loop polls	
task/auto-resume.ts:123	new Date().toISOString	auto-resume decision timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); committedAt reflects virtual time	journal timestamp
task/subagent-worker-entry.ts:40	Bun.sleep	synthetic per-turn delay	request.payload.delayMs	Clock.sleep(delayMs)	TestClock.advance(delayMs); turn resumes	
task/subagent-worker-protocol.ts:5	delayMs field	synthetic per-turn delay parameter	optional delayMs in payload	Clock.sleep(delayMs)	TestClock.advance(delayMs); turn resumes	schema only; timer in subagent-worker-entry
task/subagent-worker-protocol.ts:96	delayMs decode	decode synthetic delay parameter	integerField(input.delayMs)	Clock.sleep(delayMs)	same as above	schema only
task/parallel.ts:97	REVIVE_ADMISSION_WAIT_MS constant	maximum bounded wait for revive admission	5000ms	Effect.timeout(acquireEffect, 5000)	TestClock.advance(5000); expect admission bypass	used by index.ts acquireReviveAdmissionSlot
task/child-lifecycle.ts:74	Date.parse	validate lifecycle record timestamp	Date.parse(updatedAt)	Clock.currentTimeMillis formatted/parsed	TestClock.set(t); formatted string parses	timestamp validation only
task/child-lifecycle.ts:113	Date.parse	validate restart record timestamp	Date.parse(updatedAt)	Clock.currentTimeMillis formatted/parsed	TestClock.set(t); formatted string parses	timestamp validation only
task/child-lifecycle.ts:155	new Date().toISOString	append lifecycle record timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); updatedAt reflects t	journal timestamp
task/child-lifecycle.ts:164	Date.parse	latest lifecycle timestamp comparison	Date.parse(decoded.record.updatedAt) >= Date.parse(latest.updatedAt)	Clock.currentTimeMillis comparisons	TestClock.set(t1, t2); comparison matches	timestamp ordering only
task/re-adopt.ts:65	idleTtlMs option	park TTL for re-adopted children	idleTtlMs from options	passed to lifecycle manager	TestClock.advance(idleTtlMs); expect park	delegates to AgentLifecycleManager (out of scope)
task/re-adopt.ts:158	new Date().toISOString	degraded re-adoption timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); createdAt reflects t	journal timestamp
task/re-adopt.ts:305	new Date().toISOString	resume candidate timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); updatedAt reflects t	journal timestamp
task/re-adopt.ts:388	lifecycle.adopt idleTtlMs	adopt recovered child with park TTL	idleTtlMs passed to lifecycle.adopt	Schedule.fromDuration or passed to lifecycle manager	TestClock.advance(idleTtlMs); expect park	delegates to AgentLifecycleManager (out of scope)
task/re-adopt.ts:419	new Date().toISOString	resume attempt start timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); updatedAt reflects t	journal timestamp
task/re-adopt.ts:427	new Date().toISOString	resume attempt end timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); updatedAt reflects t	journal timestamp
