site	state_owner	must_serialize	backpressure_point	race_workaround	target_primitive	notes
index.ts:102	spawnGuideCache Map	load vs delete vs get	unbounded by cwd	mtimeMs comparison invalidates stale entry	Ref + Cache	Spawn-guide cache should be a Context-provided cache Layer.
index.ts:103	defaultSpawnGuidePathCache Map	promise caching vs fn swap	unbounded by cwd	-	Ref + Cache	Per-cwd path memo should be Context service or Layer.
index.ts:657	discoveryMemo Map + discoveryMemoFn mutable var + pending.catch callback	fn swap/clear/set/get vs floating rejection deletion	unbounded by cwd	identity guard checks discoveryMemo.get(key) === pending before delete	Ref + Cache	pending.catch at index.ts:671-673 mutates shared discoveryMemo asynchronously; identity guard avoids deleting a replacement promise but remains a race/ownership site
index.ts:769	TaskTool #preResolvedModels Map	execute sets vs #runSpawn/#registerSpawnJob deletes	bounded by spawn count	delete happens in #runSpawn and on schedule failure	Ref	Schedule-time route cache per agentId; should be Ref.
index.ts:777	TaskTool #spawnSemaphore Semaphore	acquire vs release across parallel calls	FIFO queue inside Semaphore class	manual counting semaphore with abort-aware queue	Semaphore	Already a hand-rolled semaphore; replace with Effect Semaphore.
index.ts:1040	TaskTool async counters (settledCount/failedCount/primaryJobId)	concurrent onSettled callbacks	-	closure mutation without synchronization	Ref	Job completion counters should be Ref.
index.ts:1055	TaskTool started/failedSchedules arrays	concurrent #registerSpawnJob calls	unbounded by spawn count	push in try/catch loop	Ref + Queue	Spawn outcome collection should be Ref or Queue.
index.ts:678	acquireReviveAdmissionSlot AbortSignal.timeout	semaphore acquire vs timeout	-	AbortSignal.timeout(REVIVE_ADMISSION_WAIT_MS) + catch	Semaphore + Fiber	Bounded wait should be Semaphore.withPermits + Effect.timeout.
spawn-worker-client.ts:27	spawnLaunchTail promise chain	serializing subprocess launches	unbounded chain	await previous + Promise.withResolvers turn	Semaphore	Serial launch gate should be Semaphore(1).
spawn-worker-client.ts:38	launchSpawnProcess 10ms sleep	spawn timing	-	await new Promise(resolve => setTimeout(resolve, 10))	Schedule	Sleep is a hand-rolled cooldown; should be Schedule/Clock.
spawn-worker-client.ts:202	spawn-worker-client rssWatches Map + rssTimer + rssSampling flag	watch add/remove vs sampleWorkerRss	unbounded by pid	rssSampling flag prevents concurrent samples; setInterval polling	Ref + PubSub	RSS watch state should be Ref; sampling should be PubSub/Clock.
spawn-worker-client.ts:216	sampleWorkerRss Promise.all on ps sample	ps sample vs ps exit	-	Promise.all([text(), exited])	Fiber	Should be a Fiber that monitors RSS via a Clock/Schedule.
spawn-worker-client.ts:452	runRequest Promise.all on proc.exited/stderr/stdout	result record vs process teardown vs timeout	-	Promise.all([proc.exited, stderrPromise, stdoutPromise])	Deferred + Fiber	Result is assigned at spawn-worker-client.ts:410 then proc.kill; timeout can set terminalError before proc.exited, and terminalError wins at L453, discarding received result
spawn-worker-entry.ts:25	BoundedJsonlWriter #queue/#queuedBytes/#draining	enqueue vs drain vs flush completion	bounded by SPAWN_WORKER_MAX_QUEUED_BYTES; drops droppable records	#draining promise serializes drains; recursive #drain if more queued	Queue	#drain finally can start a recursive drain after flush awaited the prior one; flush may resolve while queued bytes remain, undermining result-before-pipe-close ordering
spawn-worker-entry.ts:137	startSpawnWorker eventBus subscriptions + registry onChange + writer	event ordering	writer queue backpressure	unsubscribe in finally; eventBus on listeners	PubSub + Queue	Event fan-out should be PubSub; writer should be Queue.
spawn-worker-entry.ts:143	process.env.OMP_SUBPROCESS_WORKER mutation	-	-	process global mutation	Layer	Process-global flag should be Layer configuration.
subagent-worker-pool.ts:57	SubagentWorkerPool #workers Set	spawn vs exit vs close	bounded by width	Set membership guards all worker operations	Fiber + Scope	Worker set should be Scope-managed Fibers.
subagent-worker-pool.ts:58	SubagentWorkerPool #queue TurnJob[]	run vs #schedule vs close	unbounded (run accepts until closed)	#schedule pulls jobs and #spawn creates workers up to width	Queue	Job queue should be Queue.bounded.
subagent-worker-pool.ts:59	SubagentWorkerPool #outcomes Map	commitResult vs flushDeliveries	bounded by in-flight count	sequence keyed Map; #nextDelivery drives in-order resolution	Deferred	Per-job result should be a Deferred; #nextDelivery ordering is a Queue.
subagent-worker-pool.ts:60	SubagentWorkerPool #nextSequence/#nextDelivery counters	assign vs commitResult vs onExit vs flushDeliveries	-	monotonic integer counters	Ref	Sequence counters should be Ref.
subagent-worker-pool.ts:62	SubagentWorkerPool #closed flag	run vs close	-	guards run/schedule/close	Ref	Closed flag should be Ref.
subagent-worker-pool.ts:74	SubagentWorkerPool run() push job + return promise	job enqueue vs worker assignment	-	promise created with Promise.withResolvers	Deferred	Caller promise should be a Deferred completed by worker result.
subagent-worker-pool.ts:135	SubagentWorkerPool #assign() shift job and send to worker	job assignment vs worker exit	-	assigns leaseId and sends via IPC	Fiber	IPC send should be Fiber with error handling.
subagent-worker-pool.ts:215	SubagentWorkerPool #commitResult() set outcome and send ack	result commit vs ack vs worker exit	-	checks leaseId/turnId/attempt; sends ack after setting outcome	Deferred	Result completion should be Deferred; ack is a separate Fiber.
subagent-worker-pool.ts:244	SubagentWorkerPool #onExit() retry or error	worker exit vs result commit	-	retries job via queue.unshift or sets error outcome	Fiber + Schedule	Retry should be Schedule; worker exit is Fiber interruption.
subagent-worker-entry.ts:12	module-level active mutable in worker	 runTurn vs acknowledge	-	throws if active set; acknowledge clears active	Ref	Worker active turn should be Ref.
subagent-worker-entry.ts:19	module-level turnsCompleted counter in worker	result vs ack	-	incremented before result; read for recycle decision	Ref	Turn counter should be Ref.
subagent-worker-entry.ts:40	Bun.sleep delay in worker	-	-	await Bun.sleep(request.payload.delayMs)	Fiber	Delay should be Clock.sleep inside a Fiber.
subagent-worker-entry.ts:77	floating void runTurn(message) in message handler	handle run vs concurrent messages	-	fire-and-forget with .catch + process.exit	Fiber	Each turn should be a Fiber; message handler should be a Queue consumer.
parallel.ts:26	mapWithConcurrencyLimit results/nextIndex/abortController/firstErrorPromise	workers share nextIndex and results	bounded by limit	Promise.race([Promise.all(workers), firstErrorPromise])	Fiber + Semaphore	Worker pool should be Semaphore.withPermits + Fiber.fork.
parallel.ts:74	mapWithConcurrencyLimit Promise.race	fail-fast vs worker completion	-	Promise.race	Fiber	Fail-fast should be Fiber.race or interrupt all workers.
parallel.ts:102	Semaphore class #current/#queue	acquire vs release	FIFO queue inside class	manual indexOf + splice on abort	Semaphore	Hand-rolled semaphore; replace with Effect Semaphore.
output-manager.ts:22	AgentOutputManager #initialized/#taken	allocate vs initialize	bounded by session	#initialized flag guards disk scan; #taken Set tracks ids	Ref	Output id set should be Ref.
subprocess-tool-registry.ts:52	SubprocessToolRegistryImpl #handlers Map	register vs getHandler	unbounded by tool name	class method serialization by JS runtime	Context	Process-global handler registry should be Context service provided by Layer.
quota-admission.ts:268	QuotaAdmissionController #state/#rateWaits/#settings	observeReports vs admit vs recordRetry	#state samples/decisions bounded by compaction; #rateWaits unbounded	compactQuotaAdmissionState caps arrays; Date.now for staleness	Ref + Clock	Controller state should be Ref; staleness should be Clock.
auto-resume.ts:35	waitForRolloutRecovery sleep poll loop	poll vs timeout	-	for(;;) with sleep(min(pollInterval, remaining))	Fiber + Schedule	Polling should be Schedule with Clock; currently uses Bun.sleep.
auto-resume.ts:95	performAutoResume resumedAgentIds/excludedAgentIds arrays	resume iteration vs ownership checks	bounded by candidates	sequential await resume in loop	Ref	Result arrays should be Ref.
re-adopt.ts:168	reAdoptDirectChildren restartManifest/unmatchedManifest/ownedFilesById/candidates	adoption vs ownership loss	unbounded by children	ownershipIsCurrent check after each registration; Promise.all release on rollback	Fiber + Ref	Adoption should be a Fiber with Ref state; rollback is a Scope finalizer.
child-lifecycle.ts:0	zero-sites	-	-	-	-	No module-level mutable state; pure decode/append helpers operate on caller-provided sessionManager.
spawn-worker-protocol.ts:0	zero-sites	-	-	-	-	No mutable state; pure constants and decoders.
subagent-worker-protocol.ts:0	zero-sites	-	-	-	-	No mutable state; pure constants and decoders.
executor.ts:298	withAbortTimeout Promise.withResolvers + settled flag	MCP tool call vs timeout vs abort	-	settled flag guards resolve/reject; clearTimeout on abort/complete	Deferred + Fiber	MCP call timeout should be Effect.timeout on a Fiber.
executor.ts:2714	untilAborted(AbortSignal.timeout(5000), session.dispose) cleanup	dispose vs timeout	-	5s wall-clock timeout for cleanup	Scope + Fiber	Cleanup should be Scope.fork with Effect.timeout, not a separate AbortSignal.
executor.ts:2728	untilAborted(AbortSignal.timeout(5000), session.dispose) cleanup (parked path)	dispose vs timeout	-	5s wall-clock timeout for cleanup	Scope + Fiber	Same as above; duplicated in both abort and parked branches.
parallel.ts:40	mapWithConcurrencyLimit AbortSignal.any	external abort vs internal fail-fast	-	AbortSignal.any([signal, abortController.signal])	Fiber	Worker signal should be derived from Fiber interruption and parent abort.
subagent-worker-entry.ts:70	process.on("message") event handler	run message vs ack message ordering	-	void runTurn(message) for run messages; synchronous acknowledge for ack	Queue + Fiber	Message dispatch should be a Queue consumed by a Fiber; ack handled synchronously.
